customer_id,first_name,last_name,age,gender,postal_code,email,phone_number,membership_status,total_spending,average_order_value,frequency,preferred_category,churned,join_date,last_purchased
103,Harper,Robinson,38,M,69006,harperr@yahoo.com,33148254771,BASIC,929.52,42.25,22,PASTRIES,False,25/01/2022 10:21,
126,Louis,Robert,41,M,69001,louis_robert@hotmail.com,33587452449,SILVER,669.56,17.17,39,BREAD,True,21/12/2072 13:04,
131,Jack,Fischer,45,F,69002,jack_fischer@free.fr,33521290487,SILVER,135.05,4.82,28,MACARON,True,,
132,Noah,Lewis,53,M,69006,NOAH.LEWIS@ICLOUD.COM,33540002343,SILVER,493.63,17.63,28,BREAD,True,09/08/2022 14:30,
134,Isabella,Laurent,57,F,69003,isabellal@free.fr,6,BASIC,313.07,14819.12,3,N/A,False,16/08/2021 9:43,
135,Emma,Brown,25,M,69006,EMMA.BROWN@GMX.DE,33990381653,SILVER,403390.35,28.09,8,PASTRIES,False,28/07/2023 10:02,
137,Sophia,Young,42,U,69001,Sophia_young@mail.com,33409929467,BASIC,571.91,571.91,1,PASTRIES,False,11/02/2022 16:13,
157,Amelia,Leroy,45,M,69003,aleroy@orange.fr,33375075727,BASIC,523.49,43.62,12,MACARON,False,06/01/2031 9:01,
170,Jack,Hall,52,F,69007,JACK_HALL@LAPOSTE.NET,33818035839,BASIC,78.3,1.82,43,TBD,True,26/04/2022 12:37,
175,Leon,Schneider,41,M,69007,leons@mail.com,33490473303,BASIC,316.13,3740.28,12,PASTRIES,True,11/12/2023 9:30,
193,Paul,Schulz,70,F,69003,pauls@yahoo.com,33617478768,SILVER,967433.2,10.78,50,BREAD,False,14/06/2021 16:10,
194,Benjamin,Moore,63,F,69002,benjaminm@free.fr,33325127574,GOLD,946.1,55.65,17,,False,13/05/2017 14:02,
195,Emma,Wright,47,F,69007,emmawright@wanadoo.fr,33406234242,GOLD,717.35,65.21,11,TO BE DETERMINED,False,30/11/1994 13:24,
196,Amelia,Thomas,24,M,69003,ameliathomas@web.de,+4199908612506,SILVER,935.06,935.06,1,PASTRIES,False,16/05/2071 13:06,
197,Sophie,Simon,43,M,69006,sophie.simon@hotmail.com,33825431262,BASIC,696.81,69.68,10,TARTE,False,15/12/1900 9:24,
198,Lukas,Taylor,36,M,69006,Lukast@hotmail.com,33893218408,BASIC,688.35,38.24,18,N/A,False,04/10/2027 13:29,
205,Hugo,Allen,41,F,69007,HALLEN@FREE.FR,33654162445,BASIC,776.57,388.29,2,NOT AVAILABLE,False,,
209,Jack,Dubois,43,M,69001,jackd@wanadoo.fr,33835940829,SILVER,887.23,295.74,3,PASTRIES,False,11/04/1997 16:23,
217,Sophie,Meyer,45,M,69003,SOPHIE_MEYER@YANDEX.COM,33592039262,BASIC,287.63,15.98,18,PASTRIES,False,15/12/2022 16:11,
234,Emma,Laurent,52,M,69006,elaurent@hotmail.com,33445229070,BASIC,897.04,19.5,46,TO BE DETERMINED,False,23/08/2022 12:10,
235,Amelia,Brown,45,M,69002,ABROWN@GMAIL.COM,33397742453,SILVER,549.76,17.73,31,MACARON,False,11/10/2024 15:10,
239,Thomas,Petit,45,M,69001,thomas.petit@protonmail.com,33635576643,GOLD,831.68,25.99,32,TARTE,False,19/02/2023 12:49,
240,Lucas,Wilson,89,F,69007,LUCASWILSON@FREE.FR,33964698673,GOLD,453.42,14.63,31,TARTE,True,,
242,Oliver,Baker,49,U,69003,OLIVER.BAKER@YANDEX.COM,33169353090,GOLD,915.68,20.81,44,TBD,True,07/04/2026 14:15,
255,Olivia,Allen,65,F,69003,Olivia.allen@laposte.net,9,GOLD,300.75,10.03,30,,True,12/02/1943 9:53,
256,Sophie,Schmidt,53,F,69002,SOPHIE_SCHMIDT@YANDEX.COM,33732146605,BASIC,339.68,16.18,21,,False,07/12/1969 15:15,
259,Harper,Dubois,59,M,69003,harperdubois@wanadoo.fr,33131468063,SILVER,894.71,49.71,18,PASTRIES,True,24/08/2022 11:51,
262,Amélie,Harris,47,F,69001,Amélie.harris@mail.com,+601 (710)-367-2809,BASIC,141.31,4.04,35,,False,24/08/2029 14:02,
263,Mia,Moreau,45,M,69006,MMOREAU@YAHOO.COM,33302582644,GOLD,711.93,79.1,9,,True,12/03/2021 14:57,
268,Henry,Bernard,63,F,69002,henryb@wanadoo.fr,33794586926,SILVER,399.44,133.15,3,BREAD,True,27/11/2022 13:38,
271,Paul,White,41,M,69006,paulw@orange.fr,33990960091,BASIC,563827.45,22.44,14,PASTRIES,True,17/05/2021 14:08,
277,Alexander,Scott,49,F,69003,Alexanderscott@orange.fr,33449812619,SILVER,922.88,153.81,6,TARTE,True,,
281,Oliver,Fischer,40,M,69002,OLIVERFISCHER@HOTMAIL.COM,33976042750,BASIC,997.58,997.58,1,MACARON,False,,
294,Olivia,Moore,70,M,69006,Olivia.moore@yandex.com,33536414233,BASIC,787071.6,29.23,15,PASTRIES,False,16/01/2014 13:25,
299,Ethan,Wagner,35,F,69002,Ethanwagner@free.fr,33870382795,BASIC,845.34,845.34,1,MACARON,True,,
306,Harry,Schmidt,58,M,69006,Harryschmidt@laposte.net,0,GOLD,913.5,22.28,41,PASTRIES,False,06/04/2026 14:55,
311,Benjamin,Hoffmann,70,F,69007,Benjaminh@hotmail.com,33935945512,SILVER,205.45,4.11,50,PASTRIES,False,03/05/2021 9:36,
324,William,Müller,39,F,69002,wmüller@protonmail.com,33451117188,BASIC,920.54,24.22,38,BREAD,True,23/05/2022 15:38,
325,Mason,Schneider,27,F,69007,MSCHNEIDER@PROTONMAIL.COM,33125547925,GOLD,835.19,37.96,22,BREAD,False,03/07/2025 12:51,
346,Henry,Thomas,64,M,69007,henry.thomas@protonmail.com,+691 (503)-952-4601,SILVER,874.63,67.28,13,MACARON,True,22/06/1983 10:35,
351,Emma,King,26,M,69003,eking@gmx.de,33671331038,SILVER,502.45,23.93,21,MACARON,True,06/08/2022 15:52,
353,Sophie,Robinson,62,F,69003,SOPHIER@HOTMAIL.COM,33483664502,SILVER,649.5,15.46,42,,False,,
375,Chloé,Schneider,34,U,69007,cschneider@yahoo.com,33815819164,SILVER,195.1,21.68,9,,True,09/09/2022 12:39,
379,Amélie,Martinez,31,F,69003,amélie.martinez@free.fr,33805820468,SILVER,262.46,5.25,50,PASTRIES,True,28/09/2021 12:59,
380,Mia,Thompson,55,F,69003,mia.thompson@wanadoo.fr,33475196088,SILVER,127.04,63.52,2,,False,12/12/2021 12:32,
381,Finn,Fischer,32,U,69007,ffischer@mail.com,33294884336,SILVER,176.64,5.2,34,PASTRIES,False,17/05/2023 12:51,
382,Chloe,Lewis,42,M,69006,Clewis@gmail.com,+827 (436)-434-2779,GOLD,1386781.1,29.71,26,,True,10/09/2023 15:20,
384,Harry,Laurent,65,M,69001,harryl@hotmail.com,33619804717,SILVER,1535191.7,45.01,19,PASTRIES,True,19/06/2032 11:02,
394,Alexander,Moore,69,U,69002,Alexander_moore@gmail.com,+166 (653)-764-5465,BASIC,89.06,4.24,21,PASTRIES,False,23/08/2023 16:43,
397,Marie,Simon,45,M,69003,MARIE.SIMON@ICLOUD.COM,33521355613,GOLD,239.98,6.32,38,BREAD,False,,
400,Hugo,Green,45,U,69003,Hugo.green@wanadoo.fr,33493332479,GOLD,628.08,157.02,4,TARTE,True,26/10/2025 16:11,
401,Liam,King,36,F,69007,Liam_king@outlook.com,0,GOLD,75.78,7.58,10,BREAD,True,01/03/2023 15:37,
403,Mason,Robinson,22,F,69002,mason_robinson@laposte.net,33968836114,SILVER,217.26,27.16,8,PASTRIES,True,18/06/2023 16:31,
407,Isabella,Leroy,84,F,69007,ILEROY@HOTMAIL.COM,33893227183,SILVER,752.9,30.12,25,MACARON,True,01/07/2022 12:05,
